pc,register,string_address,instruction,string
0x00157fb4,$a1,0x001b6528,lui,YOSHI'S ISLAND
0x00158054,$a1,0x001b6d00,addiu,Stunt Race FX
0x001580e0,$a1,0x001b6d18,lui,ActRaiser
0x001580fc,$a1,0x001b6d28,lui,SOULBLAZER - 1 USA
0x00158118,$a1,0x001b6d40,lui,SOULBLADER - 1
0x0015816c,$a1,0x001b6d60,lui,SLAP STICK 1 JPN
0x00158214,$a1,0x001b6da0,lui,Parlor
0x00158230,$a1,0x001b6da8,lui,HEIWA Parlor!Mini8
0x00158270,$a1,0x001b6dc8,lui,DARK KINGDOM
0x0015828c,$a1,0x001b6dd8,lui,ZAN3 SFC
0x001582a8,$a1,0x001b6de8,lui,HIOUDEN
0x001582e0,$a1,0x001b6df8,lui,FORTUNE QUEST
0x001582fc,$a1,0x001b6e08,lui,FISHING TO BASSING
0x00158318,$a1,0x001b6e20,lui,TokyoDome '95Battle 7
0x0015833c,$a1,0x001b6e38,lui,OHMONO BLACKBASS
0x0015836c,$a1,0x001b6e50,addiu,SANKYO Fever! 
0x001583ac,$a1,0x001b6e68,addiu,GAIA GENSOUKI 1 JPN
0x001583d4,$a1,0x001b6e80,lui,CLAY FIGHTER
0x001583f0,$a1,0x001b6e90,lui,ClayFighter 2
0x0015840c,$a1,0x001b6ea0,lui,MADDEN
0x00158444,$a1,0x001b6eb0,lui,WeaponLord
0x0015846c,$a1,0x001b68f0,lui,WAR 2410
0x00158490,$v0,0x001b6ed0,ldl,THIS SCRIPT WAS STOLEN
0x00158494,$v0,0x001b6ed0,ldr,THIS SCRIPT WAS STOLEN
0x00158498,$v0,0x001b6ed0,ldl,THIS SCRIPT WAS STOLEN
0x0015849c,$v0,0x001b6ed0,ldr,THIS SCRIPT WAS STOLEN
0x001584a0,$a1,0x001b6ec0,lw,RUDORA NO HIHOU
0x001584a0,$v0,0x001b6ed0,lw,THIS SCRIPT WAS STOLEN
0x001584a4,$v0,0x001b6ed0,lh,THIS SCRIPT WAS STOLEN
0x001584c0,$v0,0x001b6ed0,lui,THIS SCRIPT WAS STOLEN
0x001585e0,$a1,0x001b6ef0,lui,PATCH
0x0015e3f8,$a0,0x001b7e68,addiu,R: %04x
0x0015e888,$a0,0x001b7eb0,lui,Timer reset
0x0015e8b4,$a0,0x001b7ec0,lui,H-Timer %04x
0x0015e8d4,$a0,0x001b7ec0,lui,H-Timer %04x
0x0015e8ec,$a0,0x001b7ed0,lui,V-Timer %04x
0x0015e904,$a0,0x001b7ed0,addiu,V-Timer %04x
0x0015e91c,$a0,0x001b7ed0,andi,V-Timer %04x
0x00172784,$a1,0x00410bb8,lbu,SNES-SPC700 Sound File Data v0.30
