address,name,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,pseudocode_sha256,evidence
0x001309c4,snes_p16_001309c4,snes-core-dsp,medium-high,0x0015d394,1,33,0,0648ee7f969dcae462447861174c4c06defcedae9a9bf37c7198f9fd0eae7cfd,complete R5900 structural decompile
0x0014311c,S9xStartScreenRefresh,renderer,medium-high,0x00116648,1,80,0,586873c122c265617c22593fbcf7beb8c05e376c0184770977abeea06aa3e099,complete R5900 structural decompile
0x0014368c,S9xSetupOBJ,renderer,medium-high,0x0015067c,1,63,0,eae06c64514b81eee1f2c26edad1babd7c5a156f557b668595c16467b5569745,complete R5900 structural decompile
0x001437d8,DrawOBJS,renderer,medium-high,0x0014e268,6,201,0,a7ea620eb9e062741a4e6d7c6db881935dd68104c3da73101e8608afefdcfe2c,complete R5900 structural decompile
0x00143e7c,DrawBackgroundMosaic,renderer,medium-high,0x00145bf8,1,204,0,8185590ca3a817259f35fe7eb989f979d84c219784f33d979ffe493d350f2234,complete R5900 structural decompile
0x001443ec,DrawBackgroundOffset,renderer,medium-high,0x00145bbc,1,288,0,9fa557b0d1b1b4bfc3483496ef52cdb9dce11a46c836628088a13b036563e5d0,complete R5900 structural decompile
0x00144ad8,DrawBackgroundMode5,renderer,medium-high,0x00145be8,1,293,0,b2a9796828a21e40c1eecd0e8fca570d535ef882e33190528b1437d482cc5712,complete R5900 structural decompile
0x001452b0,DrawBackground,renderer,medium-high,0x0014e2b8,10,315,0,d290e8bc26e92024007c2e399ca1173af4d40a6216b10484009b00867a100a5e,complete R5900 structural decompile
0x00145c08,DrawBGMode7Background,renderer,medium-high,0x00150518,1,178,0,b22b4ba294ba291c4d152d0b11f870adbee4234451bfb718706b09062046c0eb,complete R5900 structural decompile
0x001461a8,DrawBGMode7Background16,renderer,medium-high,0x0014e5c4,2,174,0,4f318d4ee934682fcb19531de89ee06dc25500fc3ec62ce5ae39be733cc15824,complete R5900 structural decompile
0x00148394,DrawBGMode7Background16_i,renderer,medium-high,0x0014e5d4,2,474,0,b3f723aeecfac37802581281144562141672bf37b799d9d733d80e5de86b7b79,complete R5900 structural decompile
0x0014e140,RenderScreen,renderer,medium-high,0x0014f154,3,222,0,480fa3e77caf83b62d96bfb3bc9180b5196cdfefa1c6968fd991c65550a1aee5,complete R5900 structural decompile
0x0014e828,DisplayChar,renderer,medium-high,0x0014ea48,2,62,0,8c262e199139301aba13a6c5a7bba83cc2f8f2c3f543d5eaeb48c8ee3850b126,complete R5900 structural decompile
0x0014eaa4,S9xDisplayString,renderer,medium-high,0x00143614,1,55,0,b9c63816f4371132a1e10cf88516b3b6eafa2ab14d13506294c9280a94f3431b,complete R5900 structural decompile
0x00150b1c,ForceInterleave1OverrideSnes9x,memory-ppu,medium-high,0x00151e28,1,63,0,94fb6c9fa404b5f499f6ab844061d6051f2730264476e93c97a18861cdc3e2be,complete R5900 structural decompile
0x00150ccc,CMemory_ScoreHiROM,memory-ppu,medium-high,0x00151680,3,47,0,2ef9a3400d4c82fc3d361767cd8a34c631256c83a4421a9b05a107c9b341e9cd,complete R5900 structural decompile
0x00150e18,CMemory_ScoreLoROM,memory-ppu,medium-high,0x00151690,3,44,0,f51f51a4af1017af3b0f47c466c7cc585a6b58c9ce66184b2c934f01fe7fa7ab,complete R5900 structural decompile
0x00150f54,CMemory_Safe,memory-ppu,medium-high,0x00151348,4,40,0,32138679b25cb2151b933aef37ea954f34963a704800de7968d40f1b731b725d,complete R5900 structural decompile
0x001520b8,snes_p16_001520b8,memory-ppu,medium-high,0x00116048,1,77,0,c2558d68e194c04ba716e1c37bce172535eace1b0708f44e46dc50871ae75769,complete R5900 structural decompile
0x001522d8,CMemory_InitROM,memory-ppu,medium-high,0x001519d8,2,450,0,d963e74b5c266787a9ed9a7282cafda2a90bc3a6e286f1a7974243e38dc3b78c,complete R5900 structural decompile
0x001538b0,CMemory_LoROMMap,memory-ppu,medium-high,0x00152d88,2,215,0,799957acac451fe1b68a95725a4232b97d6a41180cf2b0081daf5d5f43abfb9f,complete R5900 structural decompile
0x00153da4,CMemory_BSLoROMMap,memory-ppu,medium-high,0x00152d78,1,164,0,79f04f1a9dc5944b49dca7923a9200833ad9d615f3ce2aac463bdcb6ca73d0ee,complete R5900 structural decompile
0x001541e0,CMemory_HiROMMap,memory-ppu,medium-high,0x00153174,1,150,0,269a2e22fcdae5ec8aac714c8ec630d277d450a39a73dfc9b95cc2fd18bbab33,complete R5900 structural decompile
