address,name,source,prior_status,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,warning_categories,warning_text,pseudocode_sha256,evidence
0x0012dc1c,snes_p17_0012dc1c,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x0012f244,1,54,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,746b04796efba99b7449c66f6d11f9a5bb811f016ff477959d83c41d72ca31ff,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0012e0cc,snes_p17_0012e0cc,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x0012f580,1,47,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,31386dc5efaf3fe07b9b2ae82b07346eebc0344434833f0c894c95452a88e356,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x0012fef0,snes_p17_0012fef0,untracked-code-jal,UNTRACKED,snes-core-dsp,medium,0x001308ac,3,71,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,ca80b7da8dd17113042d3a98d941b35a5b3d3edc2d02a97be6b055adcedfa3ba,complete R5900 structural decompile; pinned warnings: global-label-overlap; address label retained because the historical symbol is unproven
0x00143390,RenderLine,untracked-code-jal,UNTRACKED,renderer,medium,0x00116620,1,59,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,581c304bc3963c57ae77d1723ce834f4c65c6890d8b57253cb243410e81045d4,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x001434ac,S9xEndScreenRefresh,untracked-code-jal,UNTRACKED,renderer,medium,0x00116668,1,53,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,55a30dbe2feb7e03b1f91671f09c376a46f4003f8a029dbe7ee780188cbeaa98,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x00145240,renderer_cache_select,mapped-promotion,IDENTIFIED,renderer,medium-high,,0,248,0,,,75ed1ce50e998b7ead6436d71c2e306f191be218101d443c1c12be64e87040de,complete R5900 structural decompile; existing binary-derived mapped name retained
0x00146720,DrawBGMode7Background16Add,untracked-code-jal,UNTRACKED,renderer,medium,0x0014e68c,1,211,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,1329e86a890b4dfb8f8787a560735df9e39c6619347365ae6ef9a468f335f1c8,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x00146e6c,DrawBGMode7Background16Add1_2,untracked-code-jal,UNTRACKED,renderer,medium,0x0014e660,1,204,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,b175088f1e3d86a390cb6370221166e077ccb86cb2e8a21f3c7e89998ad70da4,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x00147578,DrawBGMode7Background16Sub,untracked-code-jal,UNTRACKED,renderer,medium,0x0014e62c,1,208,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,b2a089c2354ca2da757542036c51ab9f3069f8fdb9f5bc4dfaadc191c93ca997,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x00147c68,DrawBGMode7Background16Sub1_2,untracked-code-jal,UNTRACKED,renderer,medium,0x0014e600,1,208,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,56c57c7a45af8a986592cfb3f6949733c4ec79bd5315adea099239f70c60acc9,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x001493a8,DrawBGMode7Background16Add_i,untracked-code-jal,UNTRACKED,renderer,medium,0x0014e69c,1,568,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,22c84a8f95a9a4a9af9ba81e8af4e1a626f0090add6b9cfaeeaa068e7045679c,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x0014a784,DrawBGMode7Background16Add1_2_i,untracked-code-jal,UNTRACKED,renderer,medium,0x0014e670,1,553,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,527f79286a706ffb4ff201d1e81957f654a4fb222821b2ba7919d149a4288301,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x0014babc,DrawBGMode7Background16Sub_i,untracked-code-jal,UNTRACKED,renderer,medium,0x0014e63c,1,556,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,5703a882b075cf0d2be00b1085d9e8fa49573b7781d9609db46ffb17939ec12f,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
0x0014ce24,DrawBGMode7Background16Sub1_2_i,untracked-code-jal,UNTRACKED,renderer,medium,0x0014e610,1,549,1,global-label-overlap,Globals starting with '_' overlap smaller symbols at the same address,37344ef3ca6309abd352a9554df5d0a1df2db4ab4b57faa2ee27bed5eafd2b7c,complete R5900 structural decompile; pinned warnings: global-label-overlap; name validated against Snes9x 1.41 source order and target behavior
