symbol	target_address	status	extent_hex	region	sha256	function_address	function_extent_hex	access_address	access_opcode	base_register	trace_addresses	instruction_window_sha256	callee_address	callee_sha256	matching_evidence	matching_evidence_sha256	requesters	proof_kind	function_sha256	analysis_sha256	claim
DAT_0035931c	0x0035931c	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_00359324	0x00359324	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x0012a400	0xfe8	0x0012b32c	lw	7	0x0012b31c;0x0012b320;0x0012b324;0x0012b328	dcab40baaef174deea9bcf8e7104925ea8c16ab72c8add344779e76cf4128a0b			analysis/matching/hunt1041-v72-validated-v53-6.tsv	b47aedc105d156ff00ff74bf90753e416b3ec6a9de47b5bd3991a8cbe727c01c	ps2/progress28_structural_lift_recovered.o	block-local-constant	dd2102d989e6c94134d3272194d288cf3aa85ba2af8e5e336119fafec36f768e	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_00359328	0x00359328	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_0035b738	0x0035b738	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x0015a5f0	0x77c	0x0015a774	lbu	3	0x0015a76c	92860251f97d96147c638b5c9d01746020b54cc02634331c194f1286d3dc1d7e			analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	ps2/progress28_structural_lift_recovered.o	block-local-constant	665f0c485c5b840a0c6bf2adbb7270537921f4976b6dcc0c346fc65efe349850	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0035b739	0x0035b739	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00156c60	0x1870	0x00157aec	sb	2	0x00157ae8	f96b5ba5e01618fb2673361aa8124d0d2e1331b17d519ed11f58eb81ba760c6f			analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	ps2/progress28_structural_lift_recovered.o	block-local-constant	ccd5f51a7be5548bf5a7ca28ee0ae35b4c11c0417b936de3ef1182953da43471	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0035b73a	0x0035b73a	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00156c60	0x1870	0x00157b10	sb	2	0x00157b0c	6755f78a7bc131828370f1a8a19927474859284ddf378f35947cda996011aaa0			analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	ps2/progress28_structural_lift_recovered.o	block-local-constant	ccd5f51a7be5548bf5a7ca28ee0ae35b4c11c0417b936de3ef1182953da43471	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0035b73b	0x0035b73b	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00156c60	0x1870	0x00157c3c	sb	2	0x00157c38	5a440140bde45c21d81dcf4df883d10aea92ea9be66ef13e9cbc8dfb0354f558			analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	ps2/progress28_structural_lift_recovered.o	block-local-constant	ccd5f51a7be5548bf5a7ca28ee0ae35b4c11c0417b936de3ef1182953da43471	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0035b73c	0x0035b73c	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x001522d8	0x107c	0x001525f0	sb	2	0x001525e0	849995ef4d76445b7f89deeca13dad9f93ca538fd85c035b50bde69f5577a30a			analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	ps2/progress28_structural_lift_recovered.o	block-local-constant	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0035b73d	0x0035b73d	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00156c60	0x1870	0x00156d08	sb	2	0x00156d04	10ffeb64e6becfadc0e9c41d0c9a0d947181bbd82010561918a62772b5a3ad1a			analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	ps2/progress28_structural_lift_recovered.o	block-local-constant	ccd5f51a7be5548bf5a7ca28ee0ae35b4c11c0417b936de3ef1182953da43471	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0035b73e	0x0035b73e	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00156c60	0x1870	0x00156ce4	sb	2	0x00156ce0	bfc8a0c4914af83a24c02f25569b061ed5b1bb1e4a3f000a515c0262e0fd46c7			analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	ps2/progress28_structural_lift_recovered.o	block-local-constant	ccd5f51a7be5548bf5a7ca28ee0ae35b4c11c0417b936de3ef1182953da43471	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0035b73f	0x0035b73f	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00129250	0x1d0	0x0012932c	lbu	2	0x00129328	73663d7856c4d8718921d5623dbfce01dcec79f32b19dd33ab79bba758a38192			analysis/matching/hunt1000plus-v34-validated-16.tsv	3e824f63d90666b021b356df579c5d3404e23acffa3e959ea863354f4219d1f3	ps2/progress28_structural_lift_recovered.o	block-local-constant	6289b22588d7a4aa0914ba8cb3c66bb7ee22192188297d54bfe1e1a5cad4d48b	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
